date,shapeID,shapeName,mapping_method,gefs_mean_mm,gefs_max_mm,observed_mean_mm,observed_max_mm,heavy_probability_mean,heavy_probability_max,very_heavy_probability_max,grid_cells,risk_level,very_heavy_experimental,correction_raw_mean_mm,global_corrected_mean_mm,global_corrected_max_mm,regime_corrected_mean_mm,regime_corrected_max_mm,regime_adjustment_mm,global_adjustment_mm
2018-07-27,76128533B13673614951516,Chandauli,contained_grid,3.2350001,5.34,1.279375,2.08,0.0033024843,0.005467542,0.00027181124,4,Low Modelled Signal,False,3.2350001,0.0,0.0,0.0,0.0,-3.2350001,-3.2350001
2018-07-27,76128533B13697452453823,Kangra,contained_grid,20.195,30.26,2.2203126,7.0950003,0.011097928,0.018292788,0.00053980894,8,Low Modelled Signal,False,20.195,14.800593,24.865593,14.785072,24.85007,-5.4099274,-5.3944063
2018-07-27,76128533B13733639953372,Phek,contained_grid,39.872498,49.04,33.41875,63.045,0.015585231,0.019311525,0.0013332044,4,Low Modelled Signal,False,39.872498,34.47809,43.64559,34.46257,43.630074,-5.4099274,-5.394409
2018-07-27,76128533B13791982054894,Bathinda,contained_grid,2.6471426,4.85,0.0,0.0,0.0026287267,0.005261266,0.00018319023,7,Low Modelled Signal,False,2.6471426,0.0,0.0,0.0,0.0,-2.6471426,-2.6471426
2018-07-27,76128533B13908294104682,Amethi,contained_grid,2.295,2.52,2.0703123,5.1199994,0.0005475416,0.00058559806,6.3597785e-05,4,Low Modelled Signal,False,2.295,0.0,0.0,0.0,0.0,-2.295,-2.295
2018-07-27,76128533B14033116794334,Siwan,contained_grid,15.536667,17.03,4.7075,5.175,0.013219625,0.017189588,0.0002818061,3,Low Modelled Signal,False,15.536667,10.142259,11.635593,10.126739,11.620072,-5.4099283,-5.394408
2018-07-27,76128533B1420136949169,South East,nearest_grid,8.97,8.97,18.1775,18.1775,0.027132615,0.027132615,0.00021854576,1,Low Modelled Signal,False,8.97,3.5755925,3.5755925,3.560072,3.560072,-5.4099283,-5.3944077
2018-07-27,76128533B14243635342908,Bhandara,contained_grid,2.3466666,3.8200004,0.2725,0.4475,0.00046245547,0.0005844392,0.000107445194,6,Low Modelled Signal,False,2.3466666,0.0,0.0,0.0,0.0,-2.3466666,-2.3466666
2018-07-27,76128533B14292125820380,Dakshin Bastar Dantewada,contained_grid,6.6099997,11.049998,2.0925,4.3549995,0.00204554,0.0032175833,0.00038031943,4,Low Modelled Signal,False,6.6099997,1.5677956,5.6555905,1.5600353,5.64007,-5.0499644,-5.042204
2018-07-27,76128533B14403163214152,Bishnupur,contained_grid,36.88,36.88,12.825,12.825,0.01820606,0.01820606,0.00025126847,1,Low Modelled Signal,False,36.88,31.485594,31.485594,31.470074,31.470074,-5.4099274,-5.3944073
