model,RMSE,MAE,Bias,Correlation,split
Linear Regression,12.556284573525076,6.398233202285574,0.3348924619729921,0.5106406277288471,validation
Gradient Boosting,13.181021718103569,6.427306085303376,0.26352725135486244,0.44276263441550234,validation
Additive,16.59477244729797,7.610898002006402,1.9956212860102678,0.4685694296389219,validation
Raw GEFS,17.84858153864086,9.335662031295207,5.373110384391724,0.4783887281864862,validation
Gradient Boosting,13.595790103081212,6.111349742949971,-0.945293885169469,0.4664818292075485,test
Linear Regression,13.77468605160397,6.253303399765911,-1.5164838686516064,0.4342973045100653,test
Additive,17.217039857882583,8.182019803709522,1.6581344726146467,0.38546165038138375,test
Raw GEFS,18.31777929790166,9.901227834361668,5.106372543094113,0.40160010983296196,test
