metric,geographic_regime_code,geographic_regime,estimate,ci_2_5,ci_97_5,difference_vs_interior_plain,difference_ci_2_5,difference_ci_97_5,difference_supported
bias_mm,0,Interior plain,1.308416165396451,0.43765875111003555,2.176568300279999,0.0,0.0,0.0,False
bias_mm,1,Coastal plain,-0.25612158063919316,-2.568447219027627,1.7880448521625596,-1.5645377460356442,-3.620118997366573,0.3441168490620775,False
bias_mm,2,Interior orographic,-0.3920806062317664,-1.5337988503757984,0.6877668573310771,-1.7004967716282173,-2.9019191349293254,-0.5437923951104526,True
bias_mm,3,Coastal orographic,-7.143516052153803,-10.999883622219485,-3.440098191845804,-8.451932217550254,-12.227975348656576,-4.620583706066735,True
mae_mm,0,Interior plain,9.346191698505033,8.53933473594727,10.144815694516703,0.0,0.0,0.0,False
mae_mm,1,Coastal plain,12.655141584334835,10.785345462253016,14.546421378658664,3.3089498858298025,1.7296678931482388,4.904454030721419,True
mae_mm,2,Interior orographic,9.222631592904367,8.397678854388575,10.036399710947467,-0.12356010560066544,-1.0758215304343925,0.8595462649099275,False
mae_mm,3,Coastal orographic,19.513554696113832,16.591397260081383,22.611602822426818,10.1673629976088,7.535143958753155,12.947435354417369,True
rmse_mm,0,Interior plain,17.578702618998864,16.49387205569975,18.76995070518986,0.0,0.0,0.0,False
rmse_mm,1,Coastal plain,22.437738710834132,19.51323453034124,25.44993312281947,4.859036091835268,2.098723400792768,7.7220668012096025,True
rmse_mm,2,Interior orographic,16.95587650422127,15.472163019641753,18.450892171552105,-0.6228261147775953,-2.2922871128205338,1.1356074310118125,False
rmse_mm,3,Coastal orographic,28.611026840825236,24.60432581363186,32.79075964381617,11.032324221826372,7.13314851676264,15.060646644715337,True
correlation,0,Interior plain,0.32537980421685203,0.28667406471072365,0.366017309986209,0.0,0.0,0.0,False
correlation,1,Coastal plain,0.47837012321749506,0.4128762157522931,0.5377228031501078,0.15299031900064303,0.07320025226456606,0.23133876917898188,True
correlation,2,Interior orographic,0.3247952097155882,0.2731796434131454,0.37580229605654986,-0.0005845945012638576,-0.05482619722534327,0.05600377151190852,False
correlation,3,Coastal orographic,0.38306794739852695,0.28957947386352406,0.4765794131746957,0.05768814318167492,-0.053485871089528916,0.17499865367523693,False
agreement_score,0,Interior plain,0.6799818123540571,0.6593113110430779,0.701510358866184,0.0,0.0,0.0,False
agreement_score,1,Coastal plain,0.6609916360147537,0.6376748156643682,0.6860081990399669,-0.018990176339303333,-0.03480045891577198,-0.0025728243493264714,True
agreement_score,2,Interior orographic,0.6656069544053846,0.6496634396333848,0.6822235992358577,-0.014374857948672437,-0.03262592587740191,0.0026802791703132425,False
agreement_score,3,Coastal orographic,0.5871046627721479,0.5644732309204917,0.6085016843772704,-0.09287714958190918,-0.1150630196977047,-0.07015099773003217,True
