shapeID,shapeName,date,mapping_method,gefs_mean_mm,gefs_max_mm,observed_mean_mm,observed_max_mm,heavy_probability_mean,heavy_probability_max,very_heavy_probability_max,grid_cells,risk_level,very_heavy_experimental,correction_raw_mean_mm,global_corrected_mean_mm,global_corrected_max_mm,regime_corrected_mean_mm,regime_corrected_max_mm,regime_adjustment_mm,global_adjustment_mm,trust_grid_cells,observation_confidence_mean,observation_confidence_min,low_confidence_risk_mean,low_confidence_risk_max,low_confidence_cell_fraction,confidence_available_fraction,selective_trust_raw_mean_mm,selective_trust_raw_max_mm,selective_adjustment_mean_mm,observation_reliability_signal,geographic_grid_cells,elevation_mean_m,elevation_max_m,terrain_relief_mean_m,terrain_relief_max_m,slope_mean_degrees,slope_max_degrees,distance_to_coast_min_km,distance_to_coast_mean_km,coastal_fraction_25km,coastal_fraction_50km,coastal_fraction_75km,coastal_fraction_100km,coastal_fraction_150km,orographic_cell_fraction,coastal_orographic_fraction,dominant_geographic_regime_code,coastal_district_75km,orographic_district,dominant_geographic_regime
76128533B23858286755005,Alipurduar,2018-07-27,contained_grid,34.084,48.800003,0.46924996,0.97249997,0.010192296,0.0199674,0.00051615521,5,Low Modelled Signal,False,34.084,28.689594,43.405594,28.674072,43.390076,-5.4099274,-5.3944054,5,0.7288353,0.6209976,0.0,0.0,0.0,1.0,28.674072,43.390076,0.0,Higher observation agreement,5,167.53578,2101.0,597.2643,1675.3722,0.92685604,1.9515523,326.79092,345.51297,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0,False,True,Interior plain
76128533B35167844027544,Alirajpur,2018-07-27,contained_grid,5.6500001,5.8900003,0.069499992,0.27499998,0.0024310004,0.0028951736,0.0001567329,5,Low Modelled Signal,False,5.6500001,0.29847383,0.49559259,0.28605738,0.48007202,-5.3639426,-5.3515263,5,0.8900007,0.83006155,0.0,0.0,0.0,1.0,0.28605738,0.48007202,0.0,Higher observation agreement,5,323.90823,835.0,213.69177,482.6378,0.13511436,0.2486413,116.823364,137.95763,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0,False,False,Interior plain
76128533B51368558457506,Allahabad,2018-07-27,contained_grid,3.53,6.9899998,5.0948215,9.0725002,0.0031260052,0.005956748,0.00018983686,7,Low Modelled Signal,False,3.53,0.35016912,1.595592,0.34573466,1.5800714,-3.1842654,-3.1798308,7,0.5908162,0.55146116,0.0,0.0,0.0,1.0,0.34573466,1.5800714,0.0,Higher observation agreement,7,103.94063,278.0,41.34508,160.09778,0.07942329,0.24795541,618.2093,657.49677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B74917207853309,Almora,2018-07-27,contained_grid,30.018,34.880001,7.2922502,13.8625,0.027909869,0.040348701,0.0010395627,5,Low Modelled Signal,False,30.018,24.623592,29.485594,24.608072,29.470074,-5.4099274,-5.3944073,5,0.5855563,0.53085876,0.043164812,0.11438185,0.4,1.0,24.84159,30.088871,0.2335186,Mixed observation agreement,5,1468.2292,2580.0,814.5707,1003.79004,0.6425336,1.13275,1024.1742,1039.1432,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B5628791558965,Alwar,2018-07-27,contained_grid,91.550713,146.98999,1.5495535,4.2725,0.13605978,0.56308824,0.0060951756,14,Heavy Rain Watch,False,91.550713,86.156303,141.59558,86.140793,141.58006,-5.4099197,-5.3944092,14,0.7012974,0.60884845,0.0,0.0,0.0,1.0,86.14079,141.58006,0.0,Higher observation agreement,14,322.4758,693.0,170.30992,271.31445,0.14482227,0.2547557,637.02466,685.9464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B95049353851516,Ambala,2018-07-27,contained_grid,26.110001,26.639999,40.753754,62.112507,0.01062032,0.012109112,8.5482607e-05,2,Low Modelled Signal,False,26.110001,20.715591,21.245592,20.700071,21.230072,-5.4099293,-5.3944092,2,0.44526893,0.4072597,0.83826697,1.0,1.0,1.0,25.235035,26.64,4.5349636,Elevated observation disagreement,2,269.85056,303.0,22.149445,25.752228,0.05451084,0.06718337,951.29736,956.3396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B7879459377699,Ambedkar Nagar,2018-07-27,contained_grid,1.005,1.08,8.4181252,9.8175001,0.00098028034,0.001530127,4.4227865e-05,2,Low Modelled Signal,False,1.005,0.0,0.0,0.0,0.0,-1.005,-1.005,2,0.54741454,0.543368,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Higher observation agreement,2,89.15611,96.0,5.343891,6.3177795,0.012032561,0.012583482,680.83356,690.3799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B13908294104682,Amethi,2018-07-27,contained_grid,2.2950001,2.52,2.0703123,5.1199994,0.0005475416,0.00058559806,6.3597785e-05,4,Low Modelled Signal,False,2.2950001,0.0,0.0,0.0,0.0,-2.2950001,-2.2950001,4,0.7068641,0.5840333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Higher observation agreement,4,108.08889,117.0,6.41111,7.7211075,0.011649504,0.013201947,744.015,761.6762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B63815467309300,Amravati,2018-07-27,contained_grid,2.534375,4.5800004,0.04328125,0.19999999,0.00046176452,0.0013910641,0.00015537106,16,Low Modelled Signal,False,2.534375,0.0,0.0,0.0,0.0,-2.534375,-2.534375,16,0.86720437,0.7457771,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Higher observation agreement,16,401.63104,1127.0,227.18146,560.6389,0.22452252,0.54225445,373.3625,459.54025,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0,False,False,Interior plain
76128533B43737470294384,Amreli,2018-07-27,contained_grid,1.355,2.4499998,0.014374999,0.1125,7.4730182e-05,0.00018501408,1.2243313e-05,10,Low Modelled Signal,False,1.355,0.0,0.0,0.0,0.0,-1.355,-1.355,10,0.90393764,0.85465634,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Higher observation agreement,10,147.33322,445.0,104.466774,249.92223,0.12796596,0.24266553,5.4099755,49.790348,0.2,0.4,0.7,1.0,1.0,0.0,0.0,1,True,False,Coastal plain
