shapeID,shapeName,mapping_method,geographic_grid_cells,elevation_mean_m,elevation_max_m,terrain_relief_mean_m,terrain_relief_max_m,slope_mean_degrees,slope_max_degrees,distance_to_coast_min_km,distance_to_coast_mean_km,coastal_fraction_25km,coastal_fraction_50km,coastal_fraction_75km,coastal_fraction_100km,coastal_fraction_150km,orographic_cell_fraction,coastal_orographic_fraction,dominant_geographic_regime_code,coastal_district_75km,orographic_district,dominant_geographic_regime
76128533B55878637000592,Anjaw,contained_grid,10,2910.9995,4934.0,1516.4004,2079.9343,1.6335173,2.347068,743.81085,776.0394,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B56012535339305,Chirang,contained_grid,4,173.55556,1681.0,653.69446,1281.9312,0.78012455,1.434073,316.36728,330.091,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,False,True,Interior plain
76128533B56050914259601,Chandigarh,contained_grid,1,349.7,549.0,199.29999,199.29999,0.623141,0.623141,1001.8889,1001.8889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B5628791558965,Alwar,contained_grid,14,322.4758,693.0,170.30992,271.31445,0.14482227,0.2547557,637.02466,685.9464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B56326354019534,Kangpokpi,contained_grid,4,1057.21,2737.0,1020.29004,1302.5,0.51280594,0.8243972,303.33997,331.20837,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B56857410767766,Diu,nearest_grid,1,12.908889,56.0,43.09111,43.09111,0.14847036,0.14847036,1.2068017,1.2068017,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,True,False,Coastal plain
76128533B57036825942975,Tiruppur,contained_grid,8,321.1097,1947.0,256.6403,1461.9556,0.27629453,1.1948762,114.861336,150.61034,0.0,0.0,0.0,0.0,0.5,0.125,0.0,0,False,False,Interior plain
76128533B57183548666997,Leh(Ladakh),contained_grid,128,5087.216,7208.0,910.8546,1628.4612,0.55180883,1.8009853,1252.3632,1433.4614,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B57609583882472,Kodagu,contained_grid,4,909.0933,1504.0,478.15668,619.8689,0.4677199,0.7819371,49.312977,63.29457,0.0,0.25,1.0,1.0,1.0,0.5,0.5,1,True,True,Coastal plain
76128533B57691508962219,Raipur,contained_grid,3,280.17,319.0,30.496664,33.98221,0.028548008,0.029893605,363.55075,382.65714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B57712033428660,Bhind,contained_grid,6,149.36742,236.0,22.465925,71.61444,0.028081374,0.05002075,705.28436,740.8972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B57825981663822,Dibrugarh,contained_grid,4,107.87195,272.0,46.87806,153.95334,0.11180221,0.2941123,569.4579,591.8026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B57893545331548,Raisen,contained_grid,12,442.95352,647.0,151.46315,230.9878,0.14727242,0.24843971,463.27823,529.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B57995625790051,Karbi Anglong West,contained_grid,6,464.0472,1128.0,369.61948,482.46777,0.76412815,0.90376496,284.91037,310.6971,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,2,False,True,Interior orographic
76128533B58058152513003,Zunheboto,contained_grid,2,1117.6683,2216.0,997.83167,1025.2822,1.0426044,1.3059978,452.44125,462.7437,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B58104976570569,Karimnagar,contained_grid,3,283.73184,547.0,158.26814,250.21112,0.16539739,0.19855294,279.5913,300.92264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B58170186574016,Mahabubnagar,contained_grid,4,464.40222,655.0,116.84779,179.88556,0.17313689,0.23907405,243.51102,270.35468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B58262202014972,New Delhi,nearest_grid,1,231.76334,308.0,76.236664,76.236664,0.026391849,0.026391849,805.08435,805.08435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B58493775523243,Nizamabad,contained_grid,7,413.68826,638.0,133.74033,201.79556,0.14297983,0.18199037,356.5167,387.80035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B58527154065354,Chittaurgarh,contained_grid,11,446.64383,593.0,99.356155,159.53888,0.0680017,0.12922703,277.3471,335.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B58537895532859,Chamba,contained_grid,11,3115.7812,5956.0,1745.3098,2380.2766,2.2751544,3.315618,1148.9379,1187.2489,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B5855800361016,Begusarai,contained_grid,2,43.098892,50.0,5.9011097,6.4033318,0.013533026,0.022021832,374.53635,380.42392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B58569599021232,Solan,contained_grid,3,1011.9626,2280.0,876.3708,968.20776,1.2558213,1.5429996,1027.3896,1042.046,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B58697472287618,Godda,contained_grid,2,104.05333,271.0,115.94667,131.38667,0.14107813,0.15214825,262.18475,275.43176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B58797478961083,Bhadrak,contained_grid,2,7.96,27.0,10.54,14.425555,0.033665314,0.050431203,12.408919,24.377377,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1,True,False,Coastal plain
76128533B58876508630362,Panchkula,contained_grid,2,538.74835,1687.0,643.25165,927.3333,1.0069376,1.4611932,986.3302,998.88165,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,False,True,Interior plain
76128533B59121537940607,Barddhaman,contained_grid,10,27.916111,86.0,14.083888,29.983334,0.029885117,0.051714808,63.222927,103.226364,0.0,0.0,0.2,0.5,1.0,0.0,0.0,0,True,False,Interior plain
76128533B59256192226816,Lalitpur,contained_grid,8,374.86902,574.0,73.880974,129.40668,0.09287156,0.122899994,589.4698,621.17847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B59405966069108,Srikakulam,contained_grid,10,92.616776,1321.0,425.0832,1149.2156,0.28789937,0.67374134,0.1755339,20.14265,0.7,0.9,1.0,1.0,1.0,0.4,0.4,1,True,True,Coastal plain
76128533B59459156188335,Jalor,contained_grid,16,129.4598,713.0,181.7277,494.9422,0.117047735,0.22945619,204.81245,277.60965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B59504628511334,Kendujhar,contained_grid,12,403.15714,1069.0,317.50952,516.7755,0.33681616,0.55856794,60.61452,128.29686,0.0,0.0,0.08333333333333333,0.25,0.75,0.08333333333333333,0.0,0,True,False,Interior plain
76128533B59596968713717,Farrukhabad,contained_grid,2,147.06555,157.0,8.434448,10.372223,0.018679794,0.01870742,852.3381,860.98047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B59855617266389,Chandel,contained_grid,2,1109.6989,2245.0,910.30115,1134.1156,0.8694039,1.1077306,272.0767,281.01245,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B59866172845044,Washim,contained_grid,6,476.95703,589.0,64.87629,101.62222,0.12891276,0.1732199,392.07114,439.90738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B60180372390230,Ajmer,contained_grid,15,421.9533,782.0,138.98,316.15332,0.10970354,0.35977757,394.20535,468.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B60186573304899,Anugul,contained_grid,11,202.82982,1020.0,404.89746,858.2767,0.21051607,0.69530857,94.98623,132.82912,0.0,0.0,0.0,0.09090909090909091,0.7272727272727273,0.2727272727272727,0.0,0,False,True,Interior plain
