date,central_imerg_rain,central_gefs_rain,regional_min_mslp,regional_mean_mslp,monsoon_q850,monsoon_wind_speed,arabian_sea_u850,prototype_regime
2018-07-01,10.901639938354492,15.881274223327637,995.674072265625,1002.1730346679688,13.751262664794922,7.6874918937683105,9.96738338470459,Normal
2018-07-02,9.204780578613281,18.902894973754883,996.539306640625,1001.5250244140625,13.770020484924316,9.217374801635742,10.330500602722168,Break
2018-07-03,7.4985737800598145,16.52904510498047,994.6896362304688,1001.0653686523438,13.787773132324219,10.494303703308105,11.902453422546387,Break
2018-07-04,9.863078117370605,17.608205795288086,993.2723999023438,1000.9437866210938,13.743759155273438,10.911782264709473,14.165529251098633,Break
2018-07-05,7.192679405212402,14.659367561340332,995.7249755859375,1000.9970703125,13.759181022644043,9.30393123626709,14.21727466583252,Break
2018-07-06,10.633313179016113,11.70581340789795,994.0374755859375,999.51416015625,13.68594741821289,9.00331974029541,12.732030868530273,Normal
2018-07-07,9.427863121032715,12.552258491516113,993.2511596679688,998.214111328125,13.96155071258545,9.655786514282227,15.279474258422852,Break
2018-07-08,10.041057586669922,13.490478515625,991.3493041992188,997.7206420898438,14.1191987991333,9.981432914733887,14.631568908691406,Normal
2018-07-09,12.009035110473633,13.44007682800293,992.4970092773438,998.0747680664062,14.204324722290039,10.407543182373047,15.433241844177246,Normal
2018-07-10,11.211819648742676,17.354198455810547,992.9671020507812,998.7569580078125,14.301034927368164,11.118352890014648,17.635358810424805,Normal
2018-07-11,16.955974578857422,18.384231567382812,992.3849487304688,998.5394287109375,14.326773643493652,11.328722953796387,17.94973373413086,Active
2018-07-12,16.033477783203125,21.987716674804688,991.4159545898438,997.35888671875,14.434921264648438,11.916094779968262,17.719314575195312,Active
2018-07-13,12.418721199035645,20.75404167175293,991.3973388671875,997.1868896484375,14.495936393737793,11.536348342895508,19.806299209594727,Normal
2018-07-14,16.48644256591797,16.068565368652344,991.1729736328125,996.7728881835938,14.799875259399414,11.440930366516113,20.55332374572754,Low/Depression
2018-07-15,15.408703804016113,26.819644927978516,989.947265625,995.5655517578125,14.767558097839355,12.775374412536621,21.426734924316406,Low/Depression
2018-07-16,16.23721694946289,23.932126998901367,989.0154418945312,995.9298095703125,14.623798370361328,12.948943138122559,21.26296043395996,Low/Depression
2018-07-17,8.461085319519043,21.179269790649414,990.379150390625,996.3810424804688,14.698965072631836,12.057209968566895,20.460126876831055,Low/Depression
2018-07-18,8.570408821105957,17.786041259765625,992.1729736328125,997.7369995117188,14.844706535339355,10.494779586791992,17.16407585144043,Break
2018-07-19,15.442914962768555,18.39680290222168,991.86865234375,997.3442993164062,14.805036544799805,11.357464790344238,16.702917098999023,Active
2018-07-20,25.968692779541016,30.348772048950195,990.0997924804688,996.5850830078125,14.543335914611816,12.744828224182129,18.597774505615234,Low/Depression
2018-07-21,19.085296630859375,30.236080169677734,989.82568359375,998.8557739257812,14.278254508972168,13.015177726745605,18.996679306030273,Low/Depression
2018-07-22,15.991408348083496,28.536426544189453,990.2097778320312,998.4398803710938,14.18432331085205,12.78388786315918,19.997844696044922,Low/Depression
2018-07-23,10.922159194946289,17.154094696044922,991.35546875,999.644775390625,14.160587310791016,11.036616325378418,18.58191680908203,Normal
2018-07-24,8.97055435180664,17.08530616760254,995.679443359375,1001.371337890625,14.206286430358887,9.43232536315918,14.71030330657959,Break
2018-07-25,15.320327758789062,23.55771827697754,996.3058471679688,1001.0536499023438,14.128833770751953,9.868935585021973,13.583943367004395,Active
2018-07-26,11.23836612701416,20.824825286865234,996.9148559570312,1001.746826171875,14.02545166015625,10.387060165405273,13.655038833618164,Normal
2018-07-27,5.409103870391846,11.153050422668457,995.73876953125,1001.1444091796875,13.617359161376953,10.005534172058105,13.624039649963379,Break
2018-07-28,5.663632869720459,12.830260276794434,995.5147705078125,1000.8004760742188,13.764081954956055,8.934617042541504,11.653205871582031,Break
2018-07-29,10.453629493713379,17.95066261291504,995.4942016601562,999.7645874023438,13.815445899963379,9.12597942352295,10.345616340637207,Normal
2018-07-30,11.104231834411621,14.567339897155762,996.06201171875,999.9054565429688,13.876423835754395,9.002196311950684,10.905495643615723,Normal
2018-07-31,11.86914348602295,12.60169506072998,996.8535766601562,1001.0294189453125,13.74484634399414,10.186761856079102,12.191887855529785,Normal
