geographic_regime_code,geographic_regime,dates,mean_daily_valid_pairs,mean_rainfall_mm,mean_bias_mm,mean_mae_mm,mean_rmse_mm,mean_spatial_correlation,mean_agreement_score
0,Interior plain,31,3108.0,8.306243696520406,1.308416165396451,9.346191698505033,17.578702618998864,0.3253798042168522,0.6799818123540571
1,Coastal plain,31,479.0,13.084135463160854,-0.25612158063919316,12.655141584334835,22.437738710834132,0.47837012321749506,0.6609916360147537
2,Interior orographic,31,943.0,8.186891678840883,-0.3920806062317664,9.222631592904367,16.95587650422127,0.3247952097155882,0.6656069544053846
3,Coastal orographic,31,102.0,21.56011689093805,-7.143516052153803,19.513554696113832,28.611026840825236,0.3830679473985269,0.5871046627721479
