date,scope,model,samples,RMSE,MAE,absolute_bias
2018-07-13,Overall,Regime correction,4632,22.688667,13.442869,1.7005801
2018-07-13,Overall,Selective trust raw,4632,22.92152,13.706465,2.5318158
2018-07-13,Coastal plain,Regime correction,479,30.79714,15.618413,7.140351
2018-07-13,Coastal plain,Selective trust raw,479,30.374994,15.439633,6.4004617
2018-07-13,Coastal orographic,Regime correction,102,30.911018,20.31695,7.7571425
2018-07-13,Coastal orographic,Selective trust raw,102,30.552725,20.328924,6.620337
2018-07-14,Overall,Regime correction,4632,17.076138,10.283388,0.03893848
2018-07-14,Overall,Selective trust raw,4632,17.097956,10.419375,0.7341894
2018-07-14,Coastal plain,Regime correction,479,23.149965,12.75709,0.4323898
2018-07-14,Coastal plain,Selective trust raw,479,23.178976,13.074773,0.74515766
2018-07-14,Coastal orographic,Regime correction,102,25.693115,18.24146,11.346582
2018-07-14,Coastal orographic,Selective trust raw,102,24.649632,17.50687,10.100461
2018-07-15,Overall,Regime correction,4632,25.108782,13.99493,5.213071
2018-07-15,Overall,Selective trust raw,4632,25.765486,14.4187565,6.1975713
2018-07-15,Coastal plain,Regime correction,479,36.95199,22.358038,1.507746
2018-07-15,Coastal plain,Selective trust raw,479,37.127007,22.659477,2.94959
2018-07-15,Coastal orographic,Regime correction,102,42.927994,28.959587,4.8112774
2018-07-15,Coastal orographic,Selective trust raw,102,43.129917,29.430033,6.6183276
2018-07-16,Overall,Regime correction,4632,27.16368,15.174975,3.0775936
2018-07-16,Overall,Selective trust raw,4632,27.50179,15.663344,4.238414
2018-07-16,Coastal plain,Regime correction,479,38.628914,22.4469,11.095676
2018-07-16,Coastal plain,Selective trust raw,479,37.9928,22.176569,9.63203
2018-07-16,Coastal orographic,Regime correction,102,46.39235,32.69414,2.1498353
2018-07-16,Coastal orographic,Selective trust raw,102,46.792698,33.133118,0.7187583
2018-07-17,Overall,Regime correction,4632,26.61122,15.0880995,0.25866267
2018-07-17,Overall,Selective trust raw,4632,26.802965,15.255102,0.2879587
2018-07-17,Coastal plain,Regime correction,479,43.26508,22.440994,13.460192
2018-07-17,Coastal plain,Selective trust raw,479,43.144802,22.345749,12.951379
2018-07-17,Coastal orographic,Regime correction,102,30.855057,20.863602,6.8355393
2018-07-17,Coastal orographic,Selective trust raw,102,30.80835,20.859161,5.652843
2018-07-18,Overall,Regime correction,4632,23.596725,11.8221245,1.5214336
2018-07-18,Overall,Selective trust raw,4632,23.864473,12.026995,2.0609007
2018-07-18,Coastal plain,Regime correction,479,40.318626,17.782465,11.410334
2018-07-18,Coastal plain,Selective trust raw,479,39.64584,17.558521,10.8346405
2018-07-18,Coastal orographic,Regime correction,102,23.356834,13.899536,6.2866116
2018-07-18,Coastal orographic,Selective trust raw,102,22.86511,13.634606,5.2518196
2018-07-19,Overall,Regime correction,4632,21.372877,9.656739,3.682017
2018-07-19,Overall,Selective trust raw,4632,21.865013,9.946745,4.2248583
2018-07-19,Coastal plain,Regime correction,479,20.028975,11.796043,2.4055285
2018-07-19,Coastal plain,Selective trust raw,479,20.507376,12.291903,3.1998503
2018-07-19,Coastal orographic,Regime correction,102,25.948324,15.660324,5.9459724
2018-07-19,Coastal orographic,Selective trust raw,102,26.025116,15.628901,7.099203
2018-07-20,Overall,Regime correction,4632,29.545858,14.235154,7.098286
2018-07-20,Overall,Selective trust raw,4632,30.298462,14.798828,8.240398
2018-07-20,Coastal plain,Regime correction,479,16.33482,10.072094,0.50051737
2018-07-20,Coastal plain,Selective trust raw,479,16.770697,10.230071,1.8229587
2018-07-20,Coastal orographic,Regime correction,102,20.968414,14.509148,4.653172
2018-07-20,Coastal orographic,Selective trust raw,102,20.69622,14.445076,2.921269
2018-07-21,Overall,Regime correction,4632,30.459116,17.334019,7.4212475
2018-07-21,Overall,Selective trust raw,4632,30.887285,17.686548,8.497782
2018-07-21,Coastal plain,Regime correction,479,29.251734,13.918929,7.3343353
2018-07-21,Coastal plain,Selective trust raw,479,28.567957,13.614741,6.2802076
2018-07-21,Coastal orographic,Regime correction,102,34.324085,21.410458,12.906033
2018-07-21,Coastal orographic,Selective trust raw,102,33.524487,20.843386,10.978895
2018-07-22,Overall,Regime correction,4632,34.738186,19.030426,4.251084
2018-07-22,Overall,Selective trust raw,4632,35.086967,19.41745,5.3787103
2018-07-22,Coastal plain,Regime correction,479,27.099697,14.637041,6.6606383
2018-07-22,Coastal plain,Selective trust raw,479,26.725492,14.325783,6.1377754
2018-07-22,Coastal orographic,Regime correction,102,25.862303,17.080395,2.4413803
2018-07-22,Coastal orographic,Selective trust raw,102,25.819897,17.105453,0.95257413
2018-07-23,Overall,Regime correction,4632,20.834597,12.67045,1.1165906
2018-07-23,Overall,Selective trust raw,4632,21.208097,12.997081,1.9644223
2018-07-23,Coastal plain,Regime correction,479,16.948046,8.495386,0.31700534
2018-07-23,Coastal plain,Selective trust raw,479,17.391304,8.77347,0.29013336
2018-07-23,Coastal orographic,Regime correction,102,14.342525,8.774772,0.34374663
2018-07-23,Coastal orographic,Selective trust raw,102,14.686024,9.067516,1.0274986
2018-07-24,Overall,Regime correction,4632,22.736336,12.130322,1.9946761
2018-07-24,Overall,Selective trust raw,4632,23.167671,12.383783,2.5946522
2018-07-24,Coastal plain,Regime correction,479,11.715254,5.32118,1.7326349
2018-07-24,Coastal plain,Selective trust raw,479,11.690084,5.34127,1.4076107
2018-07-24,Coastal orographic,Regime correction,102,20.256699,12.271624,11.001518
2018-07-24,Coastal orographic,Selective trust raw,102,19.060904,11.452699,10.145774
2018-07-25,Overall,Regime correction,4632,27.104359,14.703931,7.6403937
2018-07-25,Overall,Selective trust raw,4632,28.00016,15.203302,8.674298
2018-07-25,Coastal plain,Regime correction,479,19.923882,9.705501,2.2497916
2018-07-25,Coastal plain,Selective trust raw,479,20.796982,10.080372,3.0387485
2018-07-25,Coastal orographic,Regime correction,102,23.055006,14.405313,10.981463
2018-07-25,Coastal orographic,Selective trust raw,102,22.061296,13.790108,9.498661
2018-07-26,Overall,Regime correction,4632,25.145683,13.006514,1.335343
2018-07-26,Overall,Selective trust raw,4632,25.338348,13.074019,2.105381
2018-07-26,Coastal plain,Regime correction,479,11.501847,5.5743093,1.3373119
2018-07-26,Coastal plain,Selective trust raw,479,11.470008,5.5379553,0.5832006
2018-07-26,Coastal orographic,Regime correction,102,13.486549,8.081297,5.771169
2018-07-26,Coastal orographic,Selective trust raw,102,12.418561,7.5519342,4.338382
2018-07-27,Overall,Regime correction,4632,18.804993,8.700063,0.7802074
2018-07-27,Overall,Selective trust raw,4632,18.616224,8.568334,0.32154357
2018-07-27,Coastal plain,Regime correction,479,8.079172,3.2086847,2.4850962
2018-07-27,Coastal plain,Selective trust raw,479,7.597644,3.0448635,2.1668303
2018-07-27,Coastal orographic,Regime correction,102,5.8395634,3.619604,2.4867055
2018-07-27,Coastal orographic,Selective trust raw,102,5.435869,3.5685687,1.2271053
2018-07-28,Overall,Regime correction,4632,20.059563,8.933572,2.7825642
2018-07-28,Overall,Selective trust raw,4632,20.241858,9.035536,3.2862103
2018-07-28,Coastal plain,Regime correction,479,6.152877,2.7886016,1.9093812
2018-07-28,Coastal plain,Selective trust raw,479,5.929838,2.6855314,1.6766573
2018-07-28,Coastal orographic,Regime correction,102,7.247353,4.234793,2.0403855
2018-07-28,Coastal orographic,Selective trust raw,102,6.6239595,3.8508286,1.0341473
2018-07-29,Overall,Regime correction,4632,19.591503,8.676758,3.096847
2018-07-29,Overall,Selective trust raw,4632,20.26657,9.0621,3.787609
2018-07-29,Coastal plain,Regime correction,479,8.693632,3.6875997,1.6031622
2018-07-29,Coastal plain,Selective trust raw,479,8.597235,3.690243,1.2598507
2018-07-29,Coastal orographic,Regime correction,102,15.382268,8.300604,6.1025643
2018-07-29,Coastal orographic,Selective trust raw,102,14.933032,8.107618,5.504894
2018-07-30,Overall,Regime correction,4632,16.962675,6.9368677,1.1120553
2018-07-30,Overall,Selective trust raw,4632,16.988565,6.953087,1.7140304
2018-07-30,Coastal plain,Regime correction,479,8.108483,2.9746976,2.1803074
2018-07-30,Coastal plain,Selective trust raw,479,7.852699,2.8991685,1.7815636
2018-07-30,Coastal orographic,Regime correction,102,5.4431577,3.3945017,1.3687533
2018-07-30,Coastal orographic,Selective trust raw,102,5.1718554,3.4582582,0.24726339
2018-07-31,Overall,Regime correction,4632,16.512436,7.013844,0.6308623
2018-07-31,Overall,Selective trust raw,4632,16.592484,7.0771475,1.3526096
2018-07-31,Coastal plain,Regime correction,479,14.033053,5.3690214,3.7095737
2018-07-31,Coastal plain,Selective trust raw,479,13.66893,5.232203,3.1222389
2018-07-31,Coastal orographic,Regime correction,102,15.223722,8.402857,6.9770513
2018-07-31,Coastal orographic,Selective trust raw,102,14.851962,8.604157,5.701799
