date,geographic_regime_code,geographic_regime,valid_pairs,mean_rainfall_mm,bias_mm,mae_mm,rmse_mm,correlation,agreement_score
2018-07-01,0,Interior plain,3108.0,6.414683818817139,5.27472448348999,8.95790958404541,16.99911880493164,0.3637696656045135,0.6501165628433228
2018-07-01,1,Coastal plain,479.0,5.220668792724609,-0.5744492411613464,6.700957775115967,11.780033111572266,0.19061664000509473,0.6892561316490173
2018-07-01,2,Interior orographic,943.0,9.197596549987793,-3.566232442855835,10.991527557373047,21.60099220275879,0.4227917878282956,0.650512158870697
2018-07-01,3,Coastal orographic,102.0,7.306167125701904,0.2730821371078491,8.253067016601562,12.102802276611328,0.15140210861910444,0.599446713924408
2018-07-02,0,Interior plain,3108.0,8.036137580871582,0.7350761294364929,7.907476902008057,14.939424514770508,0.5857601203178155,0.7058097720146179
2018-07-02,1,Coastal plain,479.0,7.203894138336182,6.516960620880127,9.335387229919434,15.226899147033691,0.2815302873634865,0.6127904653549194
2018-07-02,2,Interior orographic,943.0,11.73818302154541,-3.2261855602264404,13.705631256103516,26.5549259185791,0.4411340150478183,0.6265318989753723
2018-07-02,3,Coastal orographic,102.0,10.226617813110352,7.686569690704346,13.178305625915527,17.085601806640625,-0.007592415708350868,0.4995076358318329
2018-07-03,0,Interior plain,3108.0,7.386910438537598,-0.8613505363464355,8.810027122497559,17.043195724487305,0.25667643797322326,0.6837890148162842
2018-07-03,1,Coastal plain,479.0,15.51513385772705,6.481672763824463,15.463844299316406,25.702322006225586,0.3949364400164737,0.6029855012893677
2018-07-03,2,Interior orographic,943.0,11.630849838256836,-3.4712255001068115,11.971696853637695,21.010725021362305,0.44401244675157137,0.6336479783058167
2018-07-03,3,Coastal orographic,102.0,13.95056438446045,1.1871329545974731,11.913061141967773,17.811237335205078,0.5078795843915472,0.6205413937568665
2018-07-04,0,Interior plain,3108.0,5.912712574005127,0.6060330867767334,7.203649044036865,14.854941368103027,0.2799550722982528,0.7061066627502441
2018-07-04,1,Coastal plain,479.0,14.863611221313477,3.90976881980896,13.728089332580566,23.358123779296875,0.6102146942031043,0.659428060054779
2018-07-04,2,Interior orographic,943.0,11.495879173278809,-5.698732852935791,11.375550270080566,22.972780227661133,0.5988361765996205,0.6620548963546753
2018-07-04,3,Coastal orographic,102.0,14.134088516235352,2.8841962814331055,8.898659706115723,15.738245964050293,0.8065018389994295,0.7181252837181091
2018-07-05,0,Interior plain,3108.0,5.161207675933838,0.7100474238395691,6.37252140045166,11.921189308166504,0.23697679556566603,0.7116321921348572
2018-07-05,1,Coastal plain,479.0,12.37440299987793,-3.160823345184326,14.291969299316406,28.291715621948242,0.4020852237254863,0.6791434288024902
2018-07-05,2,Interior orographic,943.0,6.137933731079102,-7.068910121917725,9.141863822937012,20.00503921508789,0.13000053912028967,0.681088387966156
2018-07-05,3,Coastal orographic,102.0,21.329029083251953,1.402356743812561,15.465011596679688,27.81870460510254,0.7299141691196119,0.6959943771362305
2018-07-06,0,Interior plain,3108.0,5.954664707183838,0.45581501722335815,6.535507678985596,12.609323501586914,0.49301232988269295,0.7107341885566711
2018-07-06,1,Coastal plain,479.0,11.708878517150879,5.154240608215332,13.48169231414795,24.505748748779297,0.45382016692631333,0.6256030797958374
2018-07-06,2,Interior orographic,943.0,3.266451358795166,0.4472195506095886,4.275723934173584,8.968024253845215,0.1863870188564924,0.755169153213501
2018-07-06,3,Coastal orographic,102.0,30.001811981201172,11.975272178649902,32.04011917114258,48.1651611328125,0.3760989736833552,0.5313437581062317
2018-07-07,0,Interior plain,3108.0,6.4984660148620605,0.40902596712112427,8.311209678649902,17.612571716308594,0.20154880252152066,0.6947271823883057
