event,rainfall_threshold_mm,probability_threshold,Brier_score,ROC_AUC,PR_AUC,hits,misses,false_alarms,CSI,POD,FAR,ETS
heavy,64.5,0.09999999999999999,0.01397789971297947,0.9098834780270659,0.11683942127956282,234,894,1348,0.09450726978998385,0.2074468085106383,0.8520859671302149,0.08578777593828572
very_heavy,115.6,0.05,0.0020350242027579644,0.9213334979288399,0.030429937787800076,12,133,247,0.030612244897959183,0.08275862068965517,0.9536679536679536,0.029381665887809005
