shapeID,shapeName,date,mapping_method,gefs_mean_mm,gefs_max_mm,observed_mean_mm,observed_max_mm,heavy_probability_mean,heavy_probability_max,very_heavy_probability_max,grid_cells,risk_level,very_heavy_experimental,correction_raw_mean_mm,global_corrected_mean_mm,global_corrected_max_mm,regime_corrected_mean_mm,regime_corrected_max_mm,regime_adjustment_mm,global_adjustment_mm
76128533B55878637000592,Anjaw,2018-07-27,contained_grid,9.3520002,15.400002,4.5031252,15.544998,0.0053803846,0.013200937,0.00090055686,10,Low Modelled Signal,False,9.3520002,4.0040336,10.005594,3.9900651,9.9900732,-5.3619351,-5.3479667
76128533B60186573304899,Anugul,2018-07-27,contained_grid,6.5954542,13.619999,1.630909,2.4249997,0.006389387,0.015150569,0.0021996431,11,Low Modelled Signal,False,6.5954542,2.1175957,8.2255917,2.1091299,8.2100706,-4.4863243,-4.4778585
76128533B25468964623139,Anuppur,2018-07-27,contained_grid,23.183334,29.469997,1.3858333,2.9824998,0.018416923,0.022560596,0.0013032589,6,Low Modelled Signal,False,23.183334,17.788925,24.07559,17.773405,24.06007,-5.4099293,-5.3944092
76128533B4745348385341,Araria,2018-07-27,contained_grid,93.375,105.39999,2.0828123,6.0074992,0.03459724,0.040768925,0.0011058362,4,Low Modelled Signal,False,93.375,87.980591,100.00558,87.965073,99.990067,-5.4099274,-5.3944092
76128533B62153454383166,Aravali,2018-07-27,contained_grid,3.25,3.9800003,0.014,0.07,0.003277699,0.0047959737,0.00022390093,5,Low Modelled Signal,False,3.25,0.0,0.0,0.0,0.0,-3.25,-3.25
76128533B16889790752134,Ariyalur,2018-07-27,contained_grid,0.8300001,1.3600001,0.027500002,0.082500003,0.00010171688,0.00011840597,1.9630734e-05,3,Low Modelled Signal,False,0.8300001,0.0,0.0,0.0,0.0,-0.8300001,-0.8300001
76128533B45623818137574,Arwal,2018-07-27,contained_grid,25.210001,25.210001,2.3899999,2.3899999,0.019691378,0.019691378,0.00053235487,1,Low Modelled Signal,False,25.210001,19.815594,19.815594,19.800072,19.800072,-5.4099293,-5.3944073
76128533B75548370501185,Ashoknagar,2018-07-27,contained_grid,6.6783333,12.750001,2.6658335,5.8250003,0.011340749,0.018257253,0.00067259889,6,Low Modelled Signal,False,6.6783333,2.4477966,7.3555932,2.4400361,7.3400726,-4.2382975,-4.2305365
76128533B20660206691661,Auraiya,2018-07-27,contained_grid,6.0500002,6.4,40.221252,60.230003,0.02602062,0.032450978,0.00036255666,2,Low Modelled Signal,False,6.0500002,0.6555922,1.0055923,0.64007163,0.99007177,-5.4099283,-5.3944082
76128533B21485639457044,Aurangabad,2018-07-27,contained_grid,5.6125002,11.460001,8.7765627,17.195,0.010104812,0.023090042,0.00039594693,4,Low Modelled Signal,False,5.6125002,2.1902964,6.0655932,2.1825361,6.0500727,-3.4299641,-3.4222038
